Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Radu Drăgușin,ROU,Tottenham,eng Premier League,21 years,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3,Defender,
Radu Drăgușin,ROU,Genoa,it Serie A,21 years,19.0,721,623,98,20,0,3,1,34,0,0,0,0,592,0,3,Defender,
Dion Drena Beljo,CRO,Augsburg,de Bundesliga,21 years,6.5,160,150,9,0,2,1,3,2,0,0,0,0,115,1,2,Forward,Midfielder
Tim Drexler,GER,Hoffenheim,de Bundesliga,18 years,6.4,349,341,7,6,0,0,0,1,0,0,0,0,315,1,1,Defender,
Domingos Duarte,POR,Getafe,es La Liga,28 years,10.1,380,365,13,11,1,3,1,1,0,0,0,0,294,2,4,Defender,
Rubén Duarte,ESP,Alavés,es La Liga,27 years,20.9,827,658,160,55,0,8,70,104,1,0,0,0,566,9,10,Defender,
Martin Dúbravka,SVK,Newcastle Utd,eng Premier League,34 years,22.1,651,443,206,37,0,1,0,0,0,0,0,0,519,2,0,Goalkeeper,
Marvin Ducksch,GER,Werder Bremen,de Bundesliga,29 years,30.0,950,751,192,55,11,10,159,5,97,35,49,0,566,7,16,Forward,
Ondrej Duda,SVK,Hellas Verona,it Serie A,28 years,27.3,1209,1049,156,94,5,20,94,5,54,11,32,0,906,4,19,Midfielder,
Denzel Dumfries,NED,Inter,it Serie A,27 years,18.2,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16,Defender,
Paul Dummett,WAL,Newcastle Utd,eng Premier League,31 years,0.2,23,22,1,0,0,0,0,1,0,0,0,0,21,0,0,Defender,
Alfred Duncan,GHA,Fiorentina,it Serie A,30 years,21.0,1030,961,63,22,5,18,65,5,35,11,17,0,800,6,22,Midfielder,
Lewis Dunk,ENG,Brighton,eng Premier League,31 years,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5,Defender,
Jáder Durán,COL,Aston Villa,eng Premier League,19 years,5.3,121,117,4,1,0,0,6,1,0,0,0,0,83,0,10,Forward,Midfielder
Julien Duranville,BEL,Dortmund,de Bundesliga,17 years,0.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,Forward,Midfielder
Hugo Duro,ESP,Valencia,es La Liga,23 years,33.1,570,522,45,1,0,0,7,4,0,0,0,0,406,3,16,Forward,
Jean-Kevin Duverne,HAI,Nantes,fr Ligue 1,26 years,15.0,743,653,86,15,0,2,13,71,0,0,0,0,597,4,11,Defender,
Paulo Dybala,ARG,Roma,it Serie A,29 years,21.8,1000,877,117,27,7,11,88,10,54,22,27,0,790,6,20,Forward,Midfielder
Aron Dønnum,NOR,Toulouse,fr Ligue 1,25 years,17.7,571,545,24,5,4,13,28,10,9,2,5,0,428,2,17,Forward,Midfielder
George Earthy,ENG,West Ham,eng Premier League,18 years,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Forward,
Simon Ebonog,CMR,Le Havre,fr Ligue 1,18 years,0.2,21,21,0,0,0,0,0,0,0,0,0,0,17,0,0,Midfielder,
Festy Ebosele,IRL,Udinese,it Serie A,20 years,18.9,419,358,60,2,1,5,45,58,0,0,0,0,278,1,21,Defender,
Enzo Ebosse,CMR,Udinese,it Serie A,24 years,0.1,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0,Defender,
Tyronne Ebuehi,NGA,Empoli,it Serie A,27 years,12.2,570,442,127,9,0,3,23,118,0,0,0,0,426,1,19,Defender,
Ederson,BRA,Manchester City,eng Premier League,29 years,30.9,1234,1077,157,43,0,9,0,0,0,0,0,0,1077,0,1,Goalkeeper,
Éderson,BRA,Atalanta,it Serie A,24 years,31.9,1662,1611,44,42,6,17,17,2,0,0,0,0,1390,7,27,Midfielder,
Odsonne Édouard,FRA,Crystal Palace,eng Premier League,25 years,17.3,350,338,9,0,4,0,10,0,1,0,0,0,249,3,20,Forward,Midfielder
John Egan,IRL,Sheffield Utd,eng Premier League,30 years,5.4,185,181,2,2,0,0,0,0,0,0,0,0,128,2,1,Defender,
Maximilian Eggestein,GER,Freiburg,de Bundesliga,26 years,32.4,1330,1296,28,21,4,2,9,5,0,0,0,0,1080,6,48,Midfielder,
Lilian Egloff,GER,Stuttgart,de Bundesliga,20 years,1.2,41,40,1,0,0,0,0,0,0,0,0,0,32,0,1,Midfielder,Defender
Kingsley Ehizibue,NED,Udinese,it Serie A,28 years,10.6,257,223,33,0,0,0,17,33,0,0,0,0,175,1,15,Defender,
Hjalmar Ekdal,SWE,Burnley,eng Premier League,24 years,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1,Defender,
Hugo Ekitike,FRA,Paris S-G,fr Ligue 1,21 years,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1,Forward,
Hugo Ekitike,FRA,Eintracht Frankfurt,de Bundesliga,21 years,8.0,193,180,12,0,1,2,9,0,0,0,0,0,131,1,11,Forward,
Emmanuel Ekong,SWE,Empoli,it Serie A,21 years,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Caleb Ekuban,GHA,Genoa,it Serie A,29 years,12.6,211,205,6,0,1,1,4,0,0,0,0,0,138,0,10,Forward,
Anthony Elanga,SWE,Nottingham Forest,eng Premier League,21 years,27.0,712,695,13,0,4,2,58,6,0,0,0,0,498,4,37,Forward,Midfielder
Simon Elisor,FRA,Metz,fr Ligue 1,24 years,8.5,157,139,18,0,0,0,4,0,0,0,0,0,111,0,5,Forward,
Harvey Elliott,ENG,Liverpool,eng Premier League,20 years,15.0,986,932,44,4,3,8,62,10,19,9,7,0,825,10,17,Midfielder,Forward
Elif Elmas,MKD,Napoli,it Serie A,23 years,3.8,191,183,7,1,0,0,6,3,3,0,1,0,167,1,4,Forward,Midfielder
Elif Elmas,MKD,RB Leipzig,de Bundesliga,23 years,3.0,120,115,3,1,0,1,0,2,0,0,0,0,100,2,1,Midfielder,Forward
Mohamed Elneny,EGY,Arsenal,eng Premier League,31 years,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,Midfielder,
Aritz Elustondo,ESP,Real Sociedad,es La Liga,29 years,9.0,468,417,51,14,0,1,1,37,0,0,0,0,402,0,3,Defender,
Nico Elvedi,SUI,Gladbach,de Bundesliga,26 years,27.6,1690,1605,83,32,2,1,3,26,0,0,0,0,1500,2,11,Defender,
Adri Embarba,ESP,Almería,es La Liga,31 years,27.5,928,770,150,35,0,16,171,16,94,36,31,0,609,8,43,Forward,Midfielder
Breel Embolo,SUI,Monaco,fr Ligue 1,26 years,2.0,46,46,0,0,0,0,1,0,0,0,0,0,37,0,2,Forward,
Emanuel Emegha,NED,Strasbourg,fr Ligue 1,20 years,23.1,295,278,17,1,0,0,1,1,0,0,0,0,216,0,10,Forward,
Emerson,BRA,Tottenham,eng Premier League,24 years,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23,Defender,
Youssef En-Nesyri,MAR,Sevilla,es La Liga,26 years,28.6,318,271,47,0,2,2,4,3,0,0,0,0,205,0,13,Forward,
Julio Enciso,PAR,Brighton,eng Premier League,19 years,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5,Midfielder,Forward
Wataru Endo,JPN,Liverpool,eng Premier League,30 years,19.1,1315,1295,16,13,5,1,4,2,0,0,0,0,1157,4,19,Midfielder,
Arne Engels,BEL,Augsburg,de Bundesliga,19 years,15.6,587,498,85,19,3,9,80,30,36,20,13,0,394,4,23,Midfielder,Defender
Christian Eriksen,DEN,Manchester Utd,eng Premier League,31 years,12.7,805,745,55,25,5,9,43,3,26,12,8,2,648,5,13,Midfielder,
Martin Erlic,CRO,Sassuolo,it Serie A,25 years,29.1,1214,1144,68,53,0,13,5,7,0,0,0,0,972,2,7,Defender,
Gonzalo Escalante,ARG,Cádiz,es La Liga,30 years,18.9,711,689,15,7,2,2,5,1,0,0,0,0,537,7,12,Midfielder,
Aarón Escandell,ESP,Las Palmas,es La Liga,27 years,1.7,86,65,20,8,0,0,0,0,0,0,0,0,64,1,0,Goalkeeper,
Alfonso Espino,URU,Rayo Vallecano,es La Liga,31 years,27.9,1423,1132,288,28,2,5,50,260,0,0,0,0,1061,3,41,Defender,
Bernardo Espinosa,COL,Girona,es La Liga,34 years,0.0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Defender,
Maxime Estève,FRA,Burnley,eng Premier League,21 years,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10,Defender,
Maxime Estève,FRA,Montpellier,fr Ligue 1,21 years,11.1,369,340,29,11,1,2,2,14,0,0,0,0,289,0,5,Defender,
Oscar Estupiñan,COL,Metz,fr Ligue 1,26 years,2.9,61,54,5,0,0,0,1,0,0,0,0,0,41,2,1,Forward,
Pervis Estupiñán,ECU,Brighton,eng Premier League,25 years,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20,Defender,
Karl Etta,CMR,Cádiz,es La Liga,19 years,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Forward,
Jonny Evans,NIR,Manchester Utd,eng Premier League,35 years,15.5,832,778,51,18,1,0,0,3,0,0,0,0,729,3,7,Defender,
Eberechi Eze,ENG,Crystal Palace,eng Premier League,25 years,22.8,909,759,144,54,7,6,107,5,71,30,23,3,700,6,20,Midfielder,Forward
Abde Ezzalzouli,MAR,Barcelona,es La Liga,21 years,0.8,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1,Forward,Midfielder
Abde Ezzalzouli,MAR,Betis,es La Liga,21 years,9.6,353,340,11,3,3,2,33,5,3,1,1,0,232,2,20,Forward,
Giovanni Fabbian,ITA,Bologna,it Serie A,20 years,11.7,287,282,5,3,1,1,4,2,0,0,0,0,225,0,7,Midfielder,Forward
Łukasz Fabiański,POL,West Ham,eng Premier League,38 years,8.0,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1,Goalkeeper,
Nicolò Fagioli,ITA,Juventus,it Serie A,22 years,4.9,223,202,21,6,1,4,19,3,10,1,7,0,193,0,2,Midfielder,
Romain Faivre,FRA,Bournemouth,eng Premier League,25 years,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0,Midfielder,Forward
Romain Faivre,FRA,Lorient,fr Ligue 1,25 years,16.1,601,546,54,19,2,2,38,4,25,11,3,0,495,1,9,Midfielder,Forward
Ilhan Fakili,FRA,Clermont Foot,fr Ligue 1,17 years,1.0,23,22,1,0,0,0,1,0,1,1,0,0,18,0,0,Midfielder,Forward
Radamel Falcao,COL,Rayo Vallecano,es La Liga,37 years,4.5,110,103,7,1,1,0,1,2,0,0,0,0,92,0,1,Forward,Defender
Wladimiro Falcone,ITA,Lecce,it Serie A,28 years,38.0,1145,836,305,57,0,2,0,0,0,0,0,0,778,4,0,Goalkeeper,
Fali,ESP,Cádiz,es La Liga,29 years,28.3,1050,989,54,49,5,21,10,0,0,0,0,0,799,7,7,Defender,
Davide Faraoni,ITA,Hellas Verona,it Serie A,31 years,6.7,304,235,65,4,1,4,19,59,2,0,1,0,228,4,6,Defender,
Davide Faraoni,ITA,Fiorentina,it Serie A,31 years,4.4,248,200,47,5,1,0,17,41,1,0,1,0,190,1,7,Defender,
Ansu Fati,ESP,Brighton,eng Premier League,20 years,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,Midfielder,Forward
Ansu Fati,ESP,Barcelona,es La Liga,20 years,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0,Midfielder,Forward
Khalil Fayad,FRA,Montpellier,fr Ligue 1,19 years,11.4,345,333,10,4,1,4,13,4,0,0,0,0,276,2,6,Forward,Midfielder
Federico Fazio,ARG,Salernitana,it Serie A,36 years,15.1,587,540,44,34,0,2,0,8,0,0,0,0,440,3,5,Defender,
Jacopo Fazzini,ITA,Empoli,it Serie A,20 years,13.7,499,445,52,23,4,1,54,4,24,7,13,0,343,2,19,Midfielder,
Nabil Fekir,FRA,Betis,es La Liga,30 years,11.7,611,534,73,29,3,5,56,3,34,13,17,0,482,4,16,Midfielder,Forward
Felipe,BRA,Nottingham Forest,eng Premier League,34 years,4.2,215,206,8,7,0,1,0,1,0,0,0,0,183,1,1,Defender,
Luiz Felipe,ITA,Betis,es La Liga,26 years,4.0,169,163,4,4,0,0,0,0,0,0,0,0,151,2,0,Defender,
João Félix,POR,Barcelona,es La Liga,23 years,17.1,663,631,25,5,8,7,17,12,8,4,0,0,538,7,13,Forward,
Ohis Felix Uduokhai,GER,Augsburg,de Bundesliga,25 years,32.5,1658,1562,91,45,0,11,3,4,0,0,0,0,1349,5,6,Defender,
Kiko Femenía,ESP,Villarreal,es La Liga,32 years,17.6,1121,939,179,26,0,4,28,153,0,0,0,0,939,3,19,Defender,
Evan Ferguson,IRL,Brighton,eng Premier League,18 years,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13,Forward,
Lewis Ferguson,SCO,Bologna,it Serie A,23 years,30.1,1778,1740,34,16,7,9,11,17,1,0,0,0,1571,4,37,Midfielder,
Bruno Fernandes,POR,Manchester Utd,eng Premier League,28 years,34.6,2179,1872,284,64,30,22,223,22,151,46,55,8,1590,23,62,Midfielder,Forward
Edimilson Fernandes,SUI,Mainz 05,de Bundesliga,27 years,14.3,801,705,90,44,2,10,53,18,28,15,9,1,615,6,9,Defender,
Aitor Fernández,ESP,Osasuna,es La Liga,32 years,6.1,198,147,49,27,0,0,0,0,0,0,0,0,127,2,0,Goalkeeper,
Álex Fernández,ESP,Cádiz,es La Liga,30 years,14.3,649,578,67,29,0,6,35,6,20,6,10,0,539,4,11,Midfielder,
Carlos Fernández,ESP,Real Sociedad,es La Liga,27 years,4.5,83,78,5,1,1,0,1,0,0,0,0,0,44,0,4,Forward,
Enzo Fernández,ARG,Chelsea,eng Premier League,22 years,24.5,1862,1756,89,52,21,28,45,5,22,4,7,0,1574,17,30,Midfielder,
Raúl Fernández,ESP,Granada,es La Liga,35 years,3.1,107,73,32,15,0,0,0,0,0,0,0,0,69,2,0,Goalkeeper,
Valery Fernández,ESP,Girona,es La Liga,23 years,5.6,221,211,10,0,1,0,13,10,0,0,0,0,188,0,4,Midfielder,Forward
Fernando,ESP,Almería,es La Liga,33 years,4.0,160,123,36,10,0,0,0,0,0,0,0,0,110,1,0,Goalkeeper,
Fernando,BRA,Sevilla,es La Liga,36 years,5.1,242,233,8,8,1,3,4,0,0,0,0,0,209,1,2,Midfielder,
Ichem Ferrah,FRA,Lille,fr Ligue 1,17 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Andrea Ferraris,ITA,Monza,it Serie A,20 years,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,Midfielder,
André Ferreira,POR,Granada,es La Liga,27 years,14.9,498,331,167,57,0,0,0,0,0,0,0,0,359,0,1,Goalkeeper,
João Ferreira,POR,Udinese,it Serie A,22 years,20.2,858,703,153,24,2,10,21,129,0,0,0,0,649,2,22,Defender,
Jordan Ferri,FRA,Montpellier,fr Ligue 1,31 years,22.6,1331,1299,32,19,5,8,38,11,2,0,0,0,1101,0,20,Midfielder,
Nacho Ferri,ESP,Eintracht Frankfurt,de Bundesliga,18 years,0.8,26,25,0,0,0,0,0,0,0,0,0,0,13,1,1,Forward,Midfielder
Rachad Fettal,MAR,Almería,es La Liga,18 years,0.2,6,5,0,0,0,0,0,0,0,0,0,0,4,1,0,Forward,
Seydou Fini,ITA,Genoa,it Serie A,17 years,0.4,14,12,2,0,0,0,1,2,0,0,0,0,9,0,0,Defender,Forward
Max Finkgräfe,GER,Köln,de Bundesliga,19 years,19.5,859,662,196,17,1,8,61,172,7,3,3,0,598,1,35,Defender,Forward
Vincenzo Fiorillo,ITA,Salernitana,it Serie A,33 years,4.0,128,59,67,13,0,0,0,0,0,0,0,0,53,2,0,Goalkeeper,
Kilian Fischer,GER,Wolfsburg,de Bundesliga,22 years,3.2,148,115,33,1,0,0,11,32,0,0,0,0,104,0,6,Defender,Midfielder
John Fleck,SCO,Sheffield Utd,eng Premier League,31 years,1.0,40,36,4,2,1,0,0,0,0,0,0,0,29,0,0,Midfielder,Defender
Mark Flekken,NED,Brentford,eng Premier League,30 years,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0,Goalkeeper,
Alessandro Florenzi,ITA,Milan,it Serie A,32 years,19.2,1277,1055,218,51,1,20,122,104,63,28,30,0,1055,4,16,Defender,
Phil Foden,ENG,Manchester City,eng Premier League,23 years,31.7,1767,1684,79,19,15,6,89,4,50,26,14,0,1511,4,49,Forward,Midfielder
Wes Foderingham,ENG,Sheffield Utd,eng Premier League,32 years,29.4,1055,659,386,124,0,4,0,0,0,0,0,0,596,10,1,Goalkeeper,
Malick Fofana,BEL,Lyon,fr Ligue 1,18 years,6.2,180,175,5,0,0,0,20,5,0,0,0,0,143,0,8,Forward,
Youssouf Fofana,FRA,Monaco,fr Ligue 1,24 years,30.0,1789,1693,83,77,13,4,14,6,0,0,0,0,1453,13,30,Midfielder,
Jonas Föhrenbach,GER,Heidenheim,de Bundesliga,27 years,31.0,1462,1151,307,17,0,17,73,289,1,1,0,0,1046,4,38,Defender,
Thomas Foket,BEL,Reims,fr Ligue 1,28 years,20.4,1069,865,192,8,0,0,37,184,0,0,0,0,862,12,27,Defender,
Michael Folorunsho,ITA,Hellas Verona,it Serie A,25 years,30.9,796,768,25,14,1,12,64,11,0,0,0,0,486,3,32,Midfielder,Forward
Tiago Fonseca Morais,POR,Lille,fr Ligue 1,19 years,0.5,15,13,2,0,0,0,1,0,2,1,0,0,11,0,0,Forward,
Pablo Fornals,ESP,West Ham,eng Premier League,27 years,4.7,210,204,6,2,0,2,8,2,0,0,0,0,162,0,6,Midfielder,Forward
Pablo Fornals,ESP,Betis,es La Liga,27 years,12.8,672,625,43,5,3,5,51,12,26,12,11,0,500,4,28,Forward,Midfielder
Emil Forsberg,SWE,RB Leipzig,de Bundesliga,31 years,5.2,199,190,7,1,0,3,8,0,5,3,2,0,163,2,6,Midfielder,Forward
Omari Forson,ENG,Manchester Utd,eng Premier League,19 years,0.8,33,32,1,0,0,0,0,0,0,0,0,0,30,0,1,Forward,
Philipp Förster,GER,Bochum,de Bundesliga,28 years,4.3,208,183,24,12,0,0,28,0,11,5,5,0,156,1,4,Midfielder,Forward
Héctor Fort,ESP,Barcelona,es La Liga,16 years,3.5,230,203,27,6,0,2,6,21,0,0,0,0,200,0,2,Defender,
Lyle Foster,RSA,Burnley,eng Premier League,22 years,21.1,461,430,29,2,3,5,3,4,0,0,0,0,312,2,16,Forward,Midfielder
Dimitri Foulquier,FRA,Valencia,es La Liga,30 years,20.5,1042,791,245,22,1,4,42,223,0,0,0,0,766,6,43,Defender,Midfielder
Juan Foyth,ARG,Villarreal,es La Liga,25 years,11.8,690,579,109,15,1,5,18,94,0,0,0,0,565,2,16,Defender,
Matheus França,BRA,Crystal Palace,eng Premier League,19 years,2.6,79,69,10,1,0,1,14,0,9,5,2,0,51,0,5,Midfielder,Forward
Bartol Franjić,CRO,Darmstadt 98,de Bundesliga,23 years,13.7,556,534,21,13,0,1,4,8,0,0,0,0,462,1,9,Midfielder,
Przemysław Frankowski,POL,Lens,fr Ligue 1,28 years,24.4,1320,1108,206,8,3,5,118,188,10,3,4,0,1008,6,38,Defender,
Nathan Fraser,IRL,Wolves,eng Premier League,18 years,2.1,42,39,3,0,0,0,0,0,0,0,0,0,33,0,3,Forward,
Davide Frattesi,ITA,Inter,it Serie A,23 years,10.6,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7,Midfielder,
Morten Frendrup,DEN,Genoa,it Serie A,22 years,34.9,1224,1181,41,10,1,4,12,22,0,0,0,0,979,2,38,Midfielder,
Remo Freuler,SUI,Bologna,it Serie A,31 years,29.2,1890,1789,97,87,1,4,9,10,0,0,0,0,1710,4,22,Midfielder,
Marco Friedl,AUT,Werder Bremen,de Bundesliga,25 years,24.4,1081,1033,43,37,0,3,4,5,0,0,0,0,930,5,5,Defender,
Marvin Friedrich,GER,Gladbach,de Bundesliga,27 years,17.4,905,859,43,22,0,4,2,20,0,0,0,0,755,3,9,Defender,
Jeremie Frimpong,NED,Leverkusen,de Bundesliga,22 years,25.0,1026,919,103,3,4,4,93,100,0,0,0,0,797,4,38,Defender,
Jorge de Frutos,ESP,Rayo Vallecano,es La Liga,26 years,17.2,483,463,17,2,0,1,53,8,7,3,4,0,344,3,24,Forward,Midfielder
Chris Führich,GER,Stuttgart,de Bundesliga,25 years,28.5,1370,1235,131,29,7,10,100,41,61,31,7,0,1112,4,34,Forward,Midfielder
Shiō Fukuda,JPN,Gladbach,de Bundesliga,19 years,0.4,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Forward,Midfielder
Angelo Fulgini,FRA,Lens,fr Ligue 1,26 years,15.3,789,661,113,29,10,5,114,8,74,34,35,0,569,15,15,Midfielder,
Niclas Füllkrug,GER,Werder Bremen,de Bundesliga,30 years,2.0,66,65,1,0,0,0,0,0,0,0,0,0,48,0,2,Forward,
Niclas Füllkrug,GER,Dortmund,de Bundesliga,30 years,24.6,572,557,14,1,4,5,5,0,0,0,0,0,378,1,23,Forward,
Gerardo Fusco,ITA,Salernitana,it Serie A,18 years,0.2,7,7,0,0,0,0,1,0,0,0,0,0,5,0,0,Forward,
Daniel Fuzato,BRA,Getafe,es La Liga,26 years,0.1,10,6,4,0,0,0,0,0,0,0,0,0,5,0,0,Goalkeeper,
Matteo Gabbia,ITA,Milan,it Serie A,23 years,14.2,902,862,39,19,0,2,0,4,0,0,0,0,815,1,7,Defender,
Matteo Gabbia,ITA,Villarreal,es La Liga,23 years,5.3,299,283,15,9,0,5,0,0,0,0,0,0,267,1,0,Defender,
Gianluca Gaetano,ITA,Cagliari,it Serie A,23 years,8.3,236,216,18,8,2,1,15,0,4,1,2,0,171,2,5,Forward,Midfielder
Gianluca Gaetano,ITA,Napoli,it Serie A,23 years,1.8,79,78,1,1,0,1,3,0,0,0,0,0,70,0,1,Midfielder,
Roberto Gagliardini,ITA,Monza,it Serie A,29 years,26.2,1487,1427,57,45,2,13,8,8,3,0,0,0,1339,3,11,Midfielder,Defender
Cody Gakpo,NED,Liverpool,eng Premier League,24 years,18.3,564,547,15,5,1,2,21,6,0,0,0,0,436,2,15,Forward,Midfielder
Javi Galán,ESP,Atlético Madrid,es La Liga,28 years,1.0,60,49,11,0,0,0,6,9,2,0,1,0,45,0,3,Defender,
Javi Galán,ESP,Real Sociedad,es La Liga,28 years,11.9,657,534,122,11,1,8,46,111,0,0,0,0,526,1,16,Defender,
Iñigo Ruiz de Galarreta,ESP,Athletic Club,es La Liga,29 years,23.2,1232,1157,69,29,8,20,57,2,36,1,30,0,993,6,18,Midfielder,
Pablo Galdames Millán,CHI,Genoa,it Serie A,26 years,0.1,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0,Midfielder,Defender
Conor Gallagher,ENG,Chelsea,eng Premier League,23 years,34.8,2018,1889,122,50,5,7,64,17,45,15,12,2,1801,7,29,Midfielder,
Antonino Gallo,ITA,Lecce,it Serie A,23 years,27.7,1408,1087,313,49,0,9,138,249,15,1,7,0,995,8,37,Defender,
Cristian Gamboa,CRC,Bochum,de Bundesliga,33 years,13.2,475,383,91,3,0,3,23,88,0,0,0,0,350,1,6,Defender,
Kévin Gameiro,FRA,Strasbourg,fr Ligue 1,36 years,15.0,461,448,12,1,4,1,10,0,0,0,0,0,373,1,14,Forward,Midfielder
Idrissa Gana Gueye,SEN,Everton,eng Premier League,33 years,20.9,898,882,13,3,2,6,11,4,0,0,0,0,758,3,14,Midfielder,
Ignatius Ganago,CMR,Nantes,fr Ligue 1,24 years,2.0,53,52,0,0,1,0,6,0,0,0,0,0,31,1,3,Forward,Midfielder
Aleix García,ESP,Girona,es La Liga,26 years,35.5,2935,2673,254,119,5,87,192,11,122,50,52,1,2567,8,24,Midfielder,
Álvaro García,ESP,Rayo Vallecano,es La Liga,30 years,27.5,825,789,35,7,1,3,121,16,10,5,3,0,518,1,35,Forward,Midfielder
Dani García,ESP,Athletic Club,es La Liga,33 years,8.3,331,321,10,9,0,2,0,1,0,0,0,0,279,0,2,Midfielder,
David García,ESP,Osasuna,es La Liga,29 years,25.9,1339,1258,77,50,3,11,2,8,0,0,0,0,1109,4,6,Defender,
Eric García,ESP,Barcelona,es La Liga,22 years,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0,Defender,
Eric García,ESP,Girona,es La Liga,22 years,29.3,2306,2123,175,71,7,18,10,95,0,0,0,0,2064,8,20,Defender,
Fran Garcia,ESP,Real Madrid,es La Liga,23 years,15.5,997,866,129,7,2,3,60,122,0,0,0,0,841,2,20,Defender,
Gonzalo García,ESP,Real Madrid,es La Liga,19 years,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Forward,Midfielder
Jastin García,ESP,Girona,es La Liga,19 years,0.4,11,11,0,0,0,0,1,0,0,0,0,0,7,0,1,Forward,
Raúl García,ESP,Athletic Club,es La Liga,37 years,4.7,138,136,0,0,1,2,7,0,0,0,0,0,79,2,3,Forward,Midfielder
Rubén García,ESP,Osasuna,es La Liga,30 years,17.2,774,692,82,24,2,4,101,7,47,25,16,1,519,0,32,Forward,Midfielder
Santiago García,ESP,Getafe,es La Liga,21 years,0.3,7,6,1,1,0,0,0,0,0,0,0,0,6,0,0,Forward,
Ulisses Garcia,SUI,Marseille,fr Ligue 1,27 years,10.1,570,461,109,11,0,1,49,91,7,0,7,0,449,0,13,Defender,
Unai García,ESP,Osasuna,es La Liga,31 years,6.2,202,184,17,15,0,6,5,2,0,0,0,0,158,1,0,Defender,
Alejandro Garnacho,ARG,Manchester Utd,eng Premier League,19 years,28.5,901,885,13,3,2,4,58,6,4,2,0,0,675,3,50,Forward,
James Garner,ENG,Everton,eng Premier League,22 years,33.4,1244,1082,155,36,4,6,112,14,59,55,3,0,958,7,28,Midfielder,
Luca Garritano,ITA,Frosinone,it Serie A,29 years,5.4,220,203,17,4,0,2,16,5,8,3,3,0,147,0,10,Midfielder,Defender
Yarek Gasiorowski,ESP,Valencia,es La Liga,18 years,8.2,292,235,57,7,0,0,6,48,0,0,0,0,208,0,6,Defender,
Johan Gastien,FRA,Clermont Foot,fr Ligue 1,35 years,25.1,1706,1599,103,59,10,12,39,11,33,12,13,0,1408,4,21,Midfielder,
Federico Gatti,ITA,Juventus,it Serie A,25 years,29.3,1370,1295,71,23,1,13,19,48,0,0,0,0,1166,4,21,Defender,
Federico Gattoni,ARG,Sevilla,es La Liga,24 years,0.1,9,7,2,1,0,0,0,1,0,0,0,0,7,0,0,Defender,Forward
Gavi,ESP,Barcelona,es La Liga,18 years,10.5,541,514,26,18,3,6,8,6,0,0,0,0,489,1,8,Midfielder,Forward
Paulo Gazzaniga,ARG,Girona,es La Liga,31 years,38.0,1391,1065,321,75,1,5,0,0,0,0,0,0,1094,5,1,Goalkeeper,
Yann Gboho,FRA,Toulouse,fr Ligue 1,22 years,13.3,285,277,2,1,5,0,15,0,0,0,0,0,211,6,26,Midfielder,Forward
Dennis Geiger,GER,Hoffenheim,de Bundesliga,25 years,0.7,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0,Midfielder,
Gelabert,ESP,Toulouse,fr Ligue 1,22 years,8.4,356,339,16,5,6,3,9,2,5,0,3,0,275,1,16,Midfielder,Forward
Francesco Gelli,ITA,Frosinone,it Serie A,26 years,17.3,743,612,129,32,2,0,53,52,43,18,5,1,604,2,18,Midfielder,Defender
Luca Gemello,ITA,Torino,it Serie A,23 years,2.0,118,99,17,5,0,0,0,0,0,0,0,0,95,2,0,Goalkeeper,
