Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Ethan Mbappé,FRA,Paris S-G,fr Ligue 1,16 years,0.5,46,44,2,0,0,0,1,2,0,0,0,0,42,0,0,Midfielder,Defender
Kylian Mbappé,FRA,Paris S-G,fr Ligue 1,24 years,24.0,965,936,24,5,12,10,23,6,7,0,0,0,801,5,19,Forward,
Malick Mbaye,SEN,Metz,fr Ligue 1,19 years,1.7,54,49,5,1,0,0,13,0,3,0,3,0,34,0,5,Midfielder,Forward
Mamadou Mbaye,SEN,Cádiz,es La Liga,25 years,3.2,84,80,3,3,0,0,0,0,0,0,0,0,47,1,1,Defender,
Chancel Mbemba,COD,Marseille,fr Ligue 1,28 years,24.5,1398,1325,71,36,0,2,15,18,0,0,0,0,1222,2,8,Defender,
Nolan Mbemba,CGO,Le Havre,fr Ligue 1,28 years,0.2,34,33,1,0,0,1,2,0,1,0,1,0,28,0,0,Midfielder,
Bryan Mbeumo,CMR,Brentford,eng Premier League,23 years,21.8,765,668,89,26,15,4,92,15,47,21,10,3,511,8,29,Forward,
Christ Mbondi,FRA,Reims,fr Ligue 1,18 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Jordi Mboula,ESP,Hellas Verona,it Serie A,24 years,3.4,69,68,1,1,0,1,8,0,0,0,0,0,46,0,9,Forward,Midfielder
Nathanael Mbuku,COD,Augsburg,de Bundesliga,21 years,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Forward,
James Mcatee,ENG,Sheffield Utd,eng Premier League,20 years,20.2,530,484,42,7,6,1,36,1,7,5,0,0,362,4,17,Midfielder,Forward
James Mcatee,ENG,Manchester City,eng Premier League,20 years,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,
Oliver McBurnie,SCO,Sheffield Utd,eng Premier League,27 years,14.2,408,400,3,0,1,1,5,0,0,0,0,0,242,5,14,Forward,
James McConnell,ENG,Liverpool,eng Premier League,18 years,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1,Midfielder,
John McGinn,SCO,Aston Villa,eng Premier League,28 years,33.3,1223,1137,82,31,15,8,74,3,37,28,0,0,972,4,25,Midfielder,Forward
Scott McKenna,SCO,Nottingham Forest,eng Premier League,26 years,4.6,186,168,18,1,0,0,0,17,0,0,0,0,137,0,2,Defender,
Weston McKennie,USA,Juventus,it Serie A,24 years,28.8,1172,990,178,9,3,6,59,168,1,0,0,0,898,4,23,Midfielder,Defender
Dwight McNeil,ENG,Everton,eng Premier League,23 years,32.1,1266,1098,158,46,14,5,229,26,82,59,14,2,874,10,62,Midfielder,Forward
Scott McTominay,SCO,Manchester Utd,eng Premier League,26 years,21.1,655,639,13,4,2,3,4,5,0,0,0,0,528,3,19,Midfielder,Forward
Facundo Medina,ARG,Lens,fr Ligue 1,24 years,30.2,2112,2018,90,79,6,10,20,9,0,0,0,0,1823,4,27,Defender,
Ben Mee,ENG,Brentford,eng Premier League,33 years,14.1,667,594,72,15,0,3,5,56,0,0,0,0,511,1,6,Defender,
Marvin Mehlem,GER,Darmstadt 98,de Bundesliga,25 years,16.5,587,535,47,5,2,0,18,10,2,0,0,0,448,5,18,Midfielder,
Bamo Meïté,CIV,Marseille,fr Ligue 1,21 years,7.1,507,473,34,10,0,0,4,20,0,0,0,0,462,0,6,Defender,
Bamo Meïté,CIV,Lorient,fr Ligue 1,21 years,1.6,56,54,2,1,0,0,0,1,0,0,0,0,48,0,1,Defender,
Hannibal Mejbri,TUN,Manchester Utd,eng Premier League,20 years,1.5,38,37,1,1,2,0,1,0,0,0,0,0,31,0,2,Midfielder,Forward
Hannibal Mejbri,TUN,Sevilla,es La Liga,20 years,1.2,50,49,1,1,0,1,2,0,0,0,0,0,41,0,0,Midfielder,
Óscar Melendo,ESP,Granada,es La Liga,25 years,12.5,409,398,8,4,6,3,9,2,2,0,2,0,328,3,9,Midfielder,Forward
Gonzalo Melero,ESP,Almería,es La Liga,29 years,12.3,465,443,20,10,0,0,4,3,0,0,0,0,381,2,5,Midfielder,Forward
Birger Meling,NOR,Rennes,fr Ligue 1,28 years,0.2,7,4,3,1,0,0,0,2,0,0,0,0,7,0,0,Defender,
Arthur Melo,BRA,Fiorentina,it Serie A,26 years,22.1,1502,1413,87,63,3,8,21,13,9,0,8,1,1372,2,15,Midfielder,
Memphis,NED,Atlético Madrid,es La Liga,29 years,9.9,264,238,23,4,3,4,12,2,7,2,3,0,195,3,10,Forward,
Houboulang Mendes,GNB,Almería,es La Liga,25 years,4.4,177,114,61,8,0,1,4,53,0,0,0,0,129,2,3,Defender,
Nuno Mendes,POR,Paris S-G,fr Ligue 1,21 years,3.0,222,197,24,0,0,2,7,24,0,0,0,0,183,1,9,Defender,
Tomás Mendes,ESP,Alavés,es La Liga,18 years,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Midfielder,
Brais Méndez,ESP,Real Sociedad,es La Liga,26 years,26.8,1244,1092,145,80,10,10,104,4,49,21,19,0,942,7,35,Midfielder,Forward
Bruno Méndez,URU,Granada,es La Liga,23 years,14.8,636,536,94,13,1,3,8,79,0,0,0,0,452,6,10,Defender,
Diego Méndez,ESP,Rayo Vallecano,es La Liga,19 years,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Midfielder,
Leonardo Mendicino,ITA,Atalanta,it Serie A,17 years,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,
Antoine Mendy,SEN,Nice,fr Ligue 1,19 years,4.6,244,223,21,4,0,2,4,17,0,0,0,0,211,0,2,Defender,
Benjamin Mendy,FRA,Lorient,fr Ligue 1,29 years,7.9,468,364,101,25,0,1,96,59,17,6,10,0,318,3,12,Defender,
Ferland Mendy,FRA,Real Madrid,es La Liga,28 years,19.1,1275,1127,148,12,0,4,5,136,0,0,0,0,1201,0,8,Defender,
