Player,Nation,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Marcus Tavernier,ENG,Bournemouth,"25 years, 363 days",16.7,3,47,15,31.9,2.81,0.9,0.06,0.2,20.4,4,0,0,5.2,5.2,0.11,-2.2,-2.2,Forward,Midfielder
Charlie Taylor,ENG,Southampton,"31 years, 183 days",3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Jack Taylor,IRL,Ipswich Town,"26 years, 270 days",5.5,1,13,4,30.8,2.36,0.73,0.08,0.25,23.7,0,0,0,0.6,0.6,0.04,0.4,0.4,Midfielder,
Mathys Tel,FRA,Tottenham,"19 years, 327 days",3.4,0,9,5,55.6,2.66,1.48,0.0,0.0,15.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Forward,
Kenny Tete,NED,Fulham,"29 years, 162 days",14.0,0,18,2,11.1,1.28,0.14,0.0,0.0,16.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Defender,
Thiago,BRA,Brentford,"23 years, 267 days",1.5,0,1,0,0.0,0.68,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Forward,
Luke Thomas,ENG,Leicester City,"23 years, 283 days",4.0,0,2,0,0.0,0.5,0.0,0.0,,25.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Youri Tielemans,BEL,Aston Villa,"27 years, 317 days",27.7,2,29,8,27.6,1.05,0.29,0.07,0.25,21.2,0,0,1,2.6,1.8,0.06,-0.6,0.2,Midfielder,
Kieran Tierney,SCO,Arsenal,"27 years, 288 days",0.9,0,1,0,0.0,1.11,0.0,0.0,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Defender,Forward
Jurriën Timber,NED,Arsenal,"23 years, 276 days",24.4,1,12,3,25.0,0.49,0.12,0.08,0.33,15.3,0,0,0,0.7,0.7,0.06,0.3,0.3,Defender,
Jean-Clair Todibo,FRA,West Ham,"25 years, 080 days",12.7,0,4,0,0.0,0.31,0.0,0.0,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Defender,
Harry Toffolo,ENG,Nottingham Forest,"29 years, 213 days",0.5,0,1,0,0.0,1.91,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
